
A T O M   T Y P E S

IDX	TYPE	RING
 9140    423.11528    423.11581
 9150    423.10990    423.11044
 9160    423.10446    423.10501
 9170    423.09896    423.09951
 9180    423.09339    423.09395
 9190    423.08776    423.08832
 9200    423.08205    423.08262
 9210    423.07626    423.07684
 9220    423.07039    423.07098
 9230    423.06444    423.06504
 9240    423.05841    423.05901
 9250    423.05227    423.05289
 9260    423.04604    423.04667
 9270    423.03970    423.04034
 9280    423.03325    423.03391
 9290    423.02669    423.02735
 9300    423.02000    423.02067
 9310    423.01317    423.01386
 9320    423.00620    423.00691
 9330    422.99908    422.99980
 9340    422.99180    422.99254
 9350    422.98435    422.98510
 9360    422.97670    422.97748
 9370    422.96885    422.96965
 9380    422.96081    422.96162
 9390    422.95254    422.95338
 9400    422.94493    422.94551
 9410    422.94001    422.94048
 9420    422.93526    422.93574
 9430    422.93048    422.93096
 9440    422.92565    422.92613
 9450    422.92077    422.92126
 9460    422.91585    422.91634
 9470    422.91088    422.91138
 9480    422.90586    422.90637
 9490    422.90079    422.90130
 9500    422.89567    422.89619
 9510    422.89049    422.89101
 9520    422.88525    422.88578
 9530    422.87995    422.88048
 9540    422.87457    422.87512
 9550    422.86913    422.86968
 9560    422.86362    422.86418
 9570    422.85805    422.85861
 9580    422.85240    422.85297
 9590    422.84667    422.84725
